date,num_hosp,num_icu_hosp,num_admits_hosp,num_deaths_from_hosp,num_deaths_from_home
2/18/20,0,0,0,0,0
2/19/20,0,0,0,0,0
2/20/20,0,0,0,0,0
2/21/20,0,0,0,0,0
2/22/20,0,0,0,0,0
2/23/20,0,0,0,0,0
2/24/20,0,0,0,0,0
2/25/20,0,0,0,0,0
2/26/20,0,0,0,0,0
2/27/20,0,0,0,0,0
2/28/20,0,0,0,0,0
2/29/20,0,0,0,0,0
3/1/20,0,0,0,0,0
3/2/20,0,0,0,0,0
3/3/20,0,0,0,0,0
3/4/20,0,0,0,0,0
3/5/20,0,0,0,0,0
3/6/20,0,0,0,0,0
3/7/20,0,0,0,0,0
3/8/20,0,0,0,0,0
3/9/20,0,0,0,0,0
3/10/20,0,0,0,0,0
3/11/20,0,0,0,0,0
3/12/20,1,0,1,0,0
3/13/20,1,0,0,0,0
3/14/20,2,0,1,0,0
3/15/20,2,0,0,0,0
3/16/20,2,0,0,0,0
3/17/20,3,0,1,0,0
3/18/20,4,0,1,0,0
3/19/20,5,0,1,0,0
3/20/20,7,0,2,0,0
3/21/20,9,0,3,0,0
3/22/20,11,1,2,0,0
3/23/20,14,0,4,0,0
3/24/20,18,1,5,0,1
3/25/20,23,1,5,0,0
3/26/20,26,9,5,1,1
3/27/20,30,8,12,0,0
3/28/20,32,9,9,0,0
3/29/20,35,11,4,0,0
3/30/20,42,12,10,1,0
3/31/20,48,17,10,0,0
4/1/20,57,23,14,1,0
4/2/20,62,29,9,0,0
4/3/20,64,31,10,1,1
4/4/20,59,37,8,0,1
4/5/20,65,43,10,2,1
4/6/20,64,43,7,1,0
4/7/20,66,41,6,1,0
4/8/20,67,40,6,0,1
4/9/20,72,41,14,1,1
4/10/20,73,42,12,0,0
4/11/20,70,48,4,0,3
4/12/20,68,44,4,1,0
4/13/20,75,50,14,0,0
4/14/20,75,48,10,1,2
4/15/20,77,41,11,3,0
4/16/20,77,41,7,0,3
4/17/20,79,39,8,4,0
4/18/20,76,35,11,1,1
4/19/20,79,36,8,0,3
4/20/20,80,37,5,0,1
4/21/20,82,35,14,0,2
4/22/20,86,31,9,1,1
4/23/20,83,34,7,2,1
4/24/20,80,36,11,1,4
4/25/20,74,34,10,1,0
4/26/20,76,32,4,2,1
4/27/20,81,35,11,0,0
4/28/20,87,36,15,2,1
4/29/20,90,36,13,0,0
4/30/20,94,35,11,0,2
5/1/20,90,39,7,1,2
5/2/20,86,34,7,0,3
5/3/20,89,35,8,1,1
5/4/20,91,33,7,2,0
5/5/20,96,32,11,0,1
5/6/20,103,33,12,0,1
5/7/20,103,32,12,1,2
5/8/20,98,36,9,3,1
5/9/20,91,36,9,1,0
5/10/20,92,39,5,2,0
5/11/20,93,36,7,1,4
5/12/20,94,34,13,0,2
5/13/20,96,31,7,1,1
5/14/20,96,35,14,1,0
5/15/20,103,34,17,2,0
5/16/20,102,36,13,0,0
5/17/20,104,35,13,0,1
5/18/20,103,35,7,2,2
5/19/20,100,39,12,1,0
5/20/20,102,38,9,0,2
5/21/20,97,39,10,1,1
5/22/20,94,38,9,2,1
5/23/20,88,40,6,0,1
5/24/20,85,39,4,0,1
5/25/20,93,42,14,1,0
5/26/20,96,41,11,1,1
5/27/20,100,41,13,0,2
5/28/20,89,38,5,1,2
5/29/20,85,39,16,1,1
5/30/20,86,34,11,0,0
5/31/20,83,35,4,0,1
6/1/20,95,40,18,1,0
6/2/20,94,41,12,2,0
6/3/20,99,39,17,2,0
6/4/20,92,38,11,1,0
6/5/20,91,37,13,1,0
6/6/20,83,36,8,1,0
6/7/20,89,40,14,1,0
6/8/20,92,38,9,0,2
6/9/20,98,36,15,0,0
6/10/20,111,44,26,0,2
6/11/20,118,46,21,2,0
6/12/20,131,49,31,3,0
6/13/20,125,48,25,2,0
6/14/20,138,52,30,0,1
6/15/20,144,52,27,1,2
6/16/20,146,59,22,1,2
6/17/20,154,63,27,3,1
6/18/20,169,63,41,1,1
6/19/20,181,64,37,1,1
6/20/20,185,71,38,0,1
6/21/20,201,84,38,0,2
6/22/20,218,86,38,1,0
6/23/20,236,94,56,1,2
6/24/20,274,106,78,2,0
6/25/20,293,109,57,0,2
6/26/20,299,114,61,2,2
6/27/20,316,114,61,0,4
6/28/20,351,114,65,2,3
6/29/20,368,121,60,2,4
6/30/20,369,132,68,5,3
7/1/20,376,133,65,2,4
7/2/20,415,145,91,3,1
7/3/20,418,151,77,2,5
7/4/20,434,156,75,4,3
7/5/20,446,137,68,2,5
7/6/20,466,140,75,5,4
7/7/20,469,148,73,10,4
7/8/20,458,149,67,5,4
7/9/20,440,132,66,8,2
7/10/20,438,133,66,4,6
7/11/20,435,134,73,5,4
7/12/20,434,151,73,5,1
7/13/20,459,154,68,3,2
7/14/20,469,159,74,7,2
7/15/20,492,151,78,8,7
7/16/20,479,158,62,14,5
7/17/20,469,151,64,7,8
7/18/20,466,158,77,5,4
7/19/20,480,158,63,7,2
7/20/20,480,153,43,5,1
7/21/20,459,160,57,6,4
7/22/20,453,150,58,10,3
7/23/20,438,148,56,9,5
7/24/20,423,151,47,2,5
7/25/20,409,151,48,7,2
7/26/20,396,145,29,7,1
7/27/20,390,140,34,5,4
7/28/20,370,133,38,7,3
7/29/20,371,128,37,9,4
7/30/20,355,131,46,4,4
7/31/20,338,127,32,7,4
8/1/20,321,119,41,4,2
8/2/20,307,119,26,11,4
8/3/20,310,114,36,3,5
8/4/20,309,113,41,2,3
8/5/20,308,111,44,4,8
8/6/20,297,106,31,3,3
8/7/20,279,105,24,8,2
8/8/20,275,96,43,3,6
8/9/20,278,98,28,3,2
8/10/20,271,101,19,5,0
8/11/20,279,98,46,3,0
8/12/20,275,98,38,3,1
8/13/20,263,92,32,7,1
8/14/20,236,89,22,3,7
8/15/20,228,86,38,2,1
8/16/20,234,83,26,2,3
8/17/20,236,83,27,1,2
8/18/20,230,79,23,2,3
8/19/20,215,78,23,3,2
8/20/20,208,73,30,3,0
8/21/20,190,67,20,2,5
8/22/20,184,63,19,1,0
8/23/20,172,63,18,2,0
8/24/20,171,58,15,2,3
8/25/20,171,59,22,1,3
8/26/20,158,57,13,3,2
8/27/20,159,58,25,2,1
8/28/20,155,57,16,0,1
8/29/20,148,57,24,3,0
8/30/20,139,52,17,3,3
8/31/20,136,51,12,0,2
9/1/20,133,48,18,1,1
9/2/20,125,44,13,1,0
9/3/20,129,48,26,1,2
9/4/20,128,47,21,2,1
9/5/20,129,43,22,4,0
9/6/20,124,42,18,2,0
9/7/20,127,41,15,2,0
9/8/20,122,42,14,1,1
9/9/20,99,40,9,3,0
9/10/20,92,38,21,1,2
9/11/20,97,34,18,0,1
9/12/20,91,37,21,1,2
9/13/20,90,37,10,3,3
9/14/20,93,34,11,0,0
9/15/20,86,33,11,1,1
9/16/20,74,29,5,1,0
9/17/20,79,26,17,2,0
9/18/20,82,20,20,2,0
9/19/20,84,27,9,2,1
9/20/20,79,27,15,0,2
9/21/20,91,32,23,0,1
9/22/20,93,30,17,1,0
9/23/20,86,28,9,1,0
9/24/20,89,30,20,1,1
9/25/20,85,27,13,1,1
9/26/20,79,24,14,0,0
9/27/20,84,24,14,0,0
9/28/20,78,19,4,2,0
9/29/20,73,18,9,0,1
9/30/20,79,22,17,0,3
10/1/20,83,26,15,1,0
10/2/20,79,24,14,0,2
10/3/20,72,26,12,1,3
10/4/20,75,27,13,1,3
10/5/20,78,25,9,1,0
10/6/20,85,27,17,0,0
10/7/20,79,27,12,0,0
10/8/20,80,28,15,1,1
10/9/20,88,27,25,0,0
10/10/20,84,28,10,2,3
10/11/20,87,30,14,0,0
10/12/20,89,32,10,0,0
10/13/20,92,31,17,0,2
10/14/20,90,35,11,2,0
10/15/20,98,36,25,3,0
10/16/20,103,32,26,1,0
10/17/20,97,36,16,1,0
10/18/20,100,30,19,2,0
10/19/20,104,43,20,2,0
10/20/20,118,45,26,0,0
10/21/20,133,46,31,1,1
10/22/20,132,44,20,2,0
10/23/20,116,43,21,1,0
10/24/20,115,42,18,0,0
10/25/20,118,39,20,0,0
10/26/20,114,43,11,0,1
10/27/20,112,40,13,2,1
10/28/20,114,39,28,4,1
10/29/20,111,41,10,2,1
10/30/20,112,41,25,1,0
10/31/20,97,41,10,3,0
11/1/20,105,42,25,1,0
11/2/20,117,37,19,1,0
11/3/20,126,41,24,0,0
11/4/20,134,52,27,0,2
11/5/20,132,52,26,2,0
11/6/20,131,44,24,3,0
11/7/20,129,44,29,0,0
11/8/20,135,45,26,0,0
11/9/20,140,45,24,0,1
11/10/20,145,51,24,2,0
11/11/20,156,52,34,0,2
11/12/20,163,57,33,0,1
11/13/20,164,62,26,1,0
11/14/20,177,61,38,1,0
11/15/20,187,60,32,2,0
11/16/20,182,64,25,4,0
11/17/20,196,65,39,3,0
11/18/20,204,63,32,2,0
11/19/20,213,72,43,1,4
11/20/20,212,77,37,6,0
11/21/20,205,74,25,1,0
11/22/20,210,77,32,2,1
11/23/20,219,72,37,1,0
11/24/20,239,81,57,2,2
11/25/20,226,74,29,2,2
11/26/20,209,80,14,3,0
11/27/20,218,81,37,7,0
11/28/20,215,73,26,3,0
11/29/20,205,69,24,1,0
11/30/20,218,75,35,1,0
12/1/20,234,71,45,3,2
12/2/20,222,73,29,3,1
12/3/20,222,75,34,1,1
12/4/20,213,76,31,2,3
12/5/20,216,81,31,1,1
12/6/20,227,77,32,1,3
12/7/20,246,75,43,1,4
12/8/20,257,82,42,2,3
12/9/20,265,81,47,2,2
12/10/20,280,79,54,2,2
12/11/20,272,90,52,3,5
12/12/20,289,90,58,2,7
12/13/20,295,90,34,3,2
12/14/20,301,86,40,4,7
12/15/20,297,87,40,2,2
12/16/20,309,96,55,4,7
12/17/20,320,94,68,4,4
