vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
9/27/21,0.002211,0,0,0,0,1920.35,327.52,522.65,226.85,1007.86,789.24
9/28/21,0.000133,0,0,0,0,115.36,19.68,31.4,13.63,60.54,47.41
9/29/21,0.000007,0,0,0,0,5.74,0.98,1.56,0.68,3.01,2.36
9/30/21,0.000133,0,0,0,0,115.05,19.62,31.31,13.59,60.38,47.28
10/1/21,0.000297,0,0,0,0,258.13,44.03,70.25,30.49,135.48,106.09
10/2/21,0,0,0,0,0,0,0,0,0,0,0
10/3/21,0,0,0,0,0,0,0,0,0,0,0
10/4/21,0.000369,0,0,0,0,320.15,54.6,87.13,37.82,168.02,131.58
10/5/21,0.0004,0,0,0,0,347.06,59.19,94.46,41,182.15,142.64
10/6/21,0.000059,0,0,0,0,51.43,8.77,14,6.08,26.99,21.14
10/8/21,0.000197,0,0,0,0,170.93,29.15,46.52,20.19,89.71,70.25
10/9/21,0.000175,0,0,0,0,152.15,25.95,41.41,17.97,79.85,62.53
10/10/21,0.000289,0,0,0,0,251.08,42.82,68.34,29.66,131.78,103.19
10/11/21,0,0,0,0,0,0,0,0,0,0,0
10/12/21,0.000289,0,0,0,0,251.08,42.82,68.34,29.66,131.78,103.19
10/13/21,0.000022,0,0,0,0,19.17,3.27,5.22,2.26,10.06,7.88
10/14/21,0.00018,0,0,0,0,156.44,26.68,42.58,18.48,82.11,64.3
10/15/21,0.00015,0,0,0,0,53.1,80.05,14.45,55.44,68.27,53.46
10/16/21,0.000201,0,0,0,0,0,160.6,0,111.24,91.4,71.58
10/17/21,0.000201,0,0,0,0,0,160.6,0,111.24,91.4,71.58
10/18/21,0,0,0,0,0,0,0,0,0,0,0
10/19/21,0.000201,0,0,0,0,0,160.6,0,111.24,91.4,71.58
10/20/21,0.0001,0,0,0,0,0,80.13,0,55.5,45.6,35.71
10/21/21,0.0001,0,0,0,0,0,80.13,0,55.5,45.6,35.71
10/22/21,0.00014,0,0,0,0,0,111.89,0,77.5,63.68,49.87
10/23/21,0.000243,0,0,0,0,0,194.32,0,134.59,110.6,86.61
