vaccine_time,vaccine_amount,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
1/10/21,0.022678,0,0,0,0,19695.87,3359.2,5360.5,2326.7,10336.98,8094.76
1/11/21,0.001362,0,0,0,0,1183.18,201.8,322.02,139.77,620.97,486.27
1/12/21,0.000068,0,0,0,0,58.88,10.04,16.02,6.96,30.9,24.2
1/13/21,0.001359,0,0,0,0,1179.97,201.25,321.15,139.39,619.29,484.95
1/14/21,0.003048,0,0,0,0,2647.53,451.55,720.56,312.76,1389.5,1088.1
1/15/21,0,0,0,0,0,0,0,0,0,0,0
1/16/21,0,0,0,0,0,0,0,0,0,0,0
1/17/21,0.003781,0,0,0,0,3283.58,560.03,893.67,387.89,1723.32,1349.51
1/18/21,0.004099,0,0,0,0,3559.55,607.09,968.78,420.49,1868.16,1462.93
1/19/21,0.000607,0,0,0,0,527.5,89.97,143.57,62.31,276.85,216.8
1/21/21,0.002019,0,0,0,0,1753.14,299,477.14,207.1,920.1,720.52
1/22/21,0.001797,0,0,0,0,1560.48,266.15,424.71,184.34,818.99,641.34
1/23/21,0.002965,0,0,0,0,2575.23,439.22,700.89,304.22,1351.56,1058.39
1/24/21,0,0,0,0,0,0,0,0,0,0,0
1/25/21,0.002965,0,0,0,0,2575.23,439.22,700.89,304.22,1351.56,1058.39
1/26/21,0.000226,0,0,0,0,196.66,33.54,53.52,23.23,103.21,80.83
1/27/21,0.001848,0,0,0,0,1604.54,273.66,436.7,189.55,842.11,659.45
1/28/21,0.001536,0,0,0,0,544.58,821.01,148.21,568.66,700.22,548.33
1/29/21,0.002057,0,0,0,0,0,1647.17,0,1140.89,937.48,734.13
1/30/21,0.002057,0,0,0,0,0,1647.17,0,1140.89,937.48,734.13
1/31/21,0,0,0,0,0,0,0,0,0,0,0
2/1/21,0.002057,0,0,0,0,0,1647.17,0,1140.89,937.48,734.13
2/2/21,0.001026,0,0,0,0,0,821.8,0,569.21,467.72,366.27
2/3/21,0.001026,0,0,0,0,0,821.8,0,569.21,467.72,366.27
2/4/21,0.001433,0,0,0,0,0,1147.57,0,794.85,653.13,511.46
2/5/21,0.002489,0,0,0,0,0,1993.01,0,1380.43,1134.31,888.26
2/6/21,0.004071,0,0,0,0,0,3260.61,0,2258.42,1855.75,1453.22
2/7/21,0,0,0,0,0,0,0,0,0,0,0
2/8/21,0.004071,0,0,0,0,0,3260.61,0,2258.42,1855.75,1453.22
2/9/21,0.000689,0,0,0,0,0,551.81,0,382.2,314.06,245.93
2/10/21,0.001635,0,0,0,0,0,1309.71,0,907.15,745.41,583.72
2/11/21,0.001738,0,0,0,0,0,1392.26,0,964.33,792.39,620.51
2/12/21,0.001738,0,0,0,0,0,1392.26,0,964.33,792.39,620.51
2/13/21,0.003387,0,0,0,0,0,2712.5,0,1878.77,1543.8,1208.93
2/14/21,0,0,0,0,0,0,0,0,0,0,0
2/15/21,0.001805,0,0,0,0,0,1445.63,0,1001.3,822.77,644.3
2/16/21,0.000635,0,0,0,0,0,508.59,0,352.27,289.46,226.67
2/17/21,0.000731,0,0,0,0,0,585.79,0,405.74,333.4,261.08
2/18/21,0.000745,0,0,0,0,0,596.87,0,413.41,339.7,266.02
2/19/21,0.000561,0,0,0,0,0,449.62,0,311.42,255.9,200.39
2/20/21,0.000561,0,0,0,0,0,449.62,0,311.42,255.9,200.39
2/21/21,0.000561,0,0,0,0,0,449.62,0,311.42,255.9,200.39
2/22/21,0.000516,0,0,0,0,0,413.3,0,286.27,235.23,184.2
2/23/21,0.001526,0,0,0,0,0,1221.81,0,846.27,695.38,544.54
2/24/21,0.001841,0,0,0,0,0,1474.07,0,1021,838.96,656.98
2/25/21,0.001809,0,0,0,0,0,1448.59,0,1003.34,824.45,645.62
2/26/21,0.002146,0,0,0,0,0,1718.58,0,1190.35,978.12,765.95
2/27/21,0.005807,0,0,0,0,0,4650.66,0,3221.21,2646.89,2072.74
2/28/21,0,0,0,0,0,0,0,0,0,0,0
3/1/21,0.005807,0,0,0,0,0,4650.66,0,3221.21,2646.89,2072.74
3/2/21,0.00243,0,0,0,0,0,1945.73,0,1347.68,1107.4,867.19
3/3/21,0.008341,0,0,0,0,0,6680.41,0,4627.1,3802.11,2977.38
3/4/21,0.002819,0,0,0,0,0,2257.46,0,1563.6,1284.82,1006.12
3/5/21,0.001146,0,0,0,0,0,945.16,0,654.65,496.33,388.67
3/6/21,0.003276,0,0,0,0,0,2946.3,0,2040.71,1186.71,929.29
3/7/21,0.006809,0,0,0,0,0,6119.37,0,4238.5,2470.99,1935.01
3/8/21,0,0,0,0,0,0,0,0,0,0,0
3/9/21,0.004844,0,0,0,0,0,4352.04,0,3014.38,1759.31,1377.69
3/10/21,0.013785,0,0,0,0,0,13775.35,0,9554.63,3678.91,2880.94
3/11/21,0.005683,0,0,0,0,0,6154.29,0,3229.43,1647.86,1290.42
3/12/21,0,0,0,0,0,0,0,0,0,0,0
3/13/21,0.018816,0,0,0,0,0,19096.15,0,10909.72,6053.06,4740.07
3/14/21,0.00596,0,0,0,0,0,6761.51,0,3647.5,1410.47,1104.52
3/15/21,0.005028,0,0,0,0,0,5794.29,0,3025.43,1167.8,914.49
3/16/21,0.005523,0,0,0,0,0,6316.86,0,3114.29,1426.66,1117.2
3/17/21,0.006015,0,0,0,0,6745.57,0,2510.28,1089.58,1512.86,1184.7
3/18/21,0.005329,0,0,0,0,5942.51,0,2295.95,996.55,1301.11,1018.88
3/19/21,0.00612,0,0,0,0,6558.22,0,2804.7,1217.37,1508.46,1181.25
3/20/21,0.006598,0,0,0,0,6967.22,0,3350.01,1454.06,1421.53,1113.18
3/21/21,0.003126,0,0,0,0,0,0,6778.29,0,0,0
3/22/21,0.006484,0,0,0,0,10760.86,0,0,0,1850.08,1448.77
3/23/21,0.002203,0,0,0,0,0,0,4776.86,0,0,0
